端末推定,日付,total_context_rows,physical_wifi,bluetooth_nearby,cellular_baseband,location_motion,cloud_trust,backup_manifest,evidence_pressure,physical_score,telecom_score,cloud_score,pressure_score,separation_hint
12G,2025-09-29,392,0,0,0,0,0,392,0,0,0,784,0,CLOUD_TRUST_HEAVY
12G,2025-09-30,368,0,0,0,0,0,368,0,0,0,736,0,CLOUD_TRUST_HEAVY
12G,2025-09-23,352,0,0,0,0,0,352,0,0,0,704,0,CLOUD_TRUST_HEAVY
12G,2025-10-12,352,272,0,96,32,0,0,32,880,192,0,32,PHYSICAL_PROXIMITY_HEAVY
12G,2025-10-16,332,5,14,13,4,105,215,218,51,26,640,218,CLOUD_TRUST_HEAVY
12G,2025-09-24,304,0,0,0,0,0,304,0,0,0,608,0,CLOUD_TRUST_HEAVY
12G,2025-09-27,264,0,0,0,0,0,264,0,0,0,528,0,CLOUD_TRUST_HEAVY
12G,2025-09-25,248,0,0,0,0,0,248,0,0,0,496,0,CLOUD_TRUST_HEAVY
12G,2025-09-26,144,0,0,0,0,0,144,0,0,0,288,0,CLOUD_TRUST_HEAVY
12G,2025-09-21,104,0,0,0,0,0,104,0,0,0,208,0,CLOUD_TRUST_HEAVY
12G,2025-10-14,48,0,2,0,0,0,45,47,4,0,90,47,CLOUD_TRUST_HEAVY
12G,2025-11-28,27,0,0,0,0,0,27,0,0,0,54,0,CLOUD_TRUST_HEAVY
12G,2025-09-28,24,0,0,0,0,0,24,0,0,0,48,0,CLOUD_TRUST_HEAVY
12G,2025-10-20,22,0,2,0,0,0,19,21,4,0,38,21,CLOUD_TRUST_HEAVY
12G,2025-11-15,21,0,4,0,0,0,15,19,8,0,30,19,CLOUD_TRUST_HEAVY
