端末推定,推定日時,日付,月,snapshot_dir,更新時刻,扱い
15G,2026-03-18 00:00:00,2026-03-18,2026-03,H:\Manifest\My_Device\15G\00008101-000524EC3A30001E\2026-03-18\2026-03-18-155727  (Snashpt肥大化世代)\iMazing\00008101-000524EC3A30001E\Snapshot,2026-03-18 22:57:28,subtree_skipped_metadata_only
15G,2026-04-01 00:00:00,2026-04-01,2026-04,H:\Manifest\My_Device\15G\00008101-000524EC3A30001E\2026-04-01\2026-04-01-020720  00_ff (SnapShot肥大化世代)\15G_Evidence\BackupWatch_20260401_090151\snapshots,2026-04-01 09:01:54,subtree_skipped_metadata_only
15G,2026-04-01 00:00:00,2026-04-01,2026-04,H:\Manifest\My_Device\15G\00008101-000524EC3A30001E\2026-04-01\2026-04-01-053959  00_ff (SnapShot肥大化世代)\15G_Evidence\BackupWatch_20260401_123548\snapshots,2026-04-01 12:35:52,subtree_skipped_metadata_only
