transition,count
OPAQUE_HIGH_ENTROPY->OPAQUE_HIGH_ENTROPY,119
SQLITE_HEADER->SQLITE_HEADER,4
OPAQUE_HIGH_ENTROPY->SQLITE_HEADER,3
SQLITE_HEADER->OPAQUE_HIGH_ENTROPY,2
