pattern,サイズbytes,row_count,unique_hash_count,devices,blob_kinds,sample_generations
SAME_SIZE_SAME_HASH,141881360,2,1,15G,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\15G\00008101-000524EC3A30001E\2026-01-02\- 2025-01-02  (00_fe-00_ff) - | H:\Manifest\My_Device\15G\00008101-000524EC3A30001E\2026-01-02\- 2026-01-02-023052  00_fe -
SAME_SIZE_SAME_HASH,141254672,2,1,15G,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\15G\00008101-000524EC3A30001E\2026-01-09\- 2026-01-09  (00_fd-00_ff) - | H:\Manifest\My_Device\15G\00008101-000524EC3A30001E\2026-01-09\- 2026-01-09-194624  00_fd -
SAME_SIZE_SAME_HASH,219422736,2,1,iPad,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\2026-01-17\- 2026-01-17  (2b_fa-00_ff) - | H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\2026-01-17\- 2026-01-17-201029  2b_fa -
SAME_SIZE_SAME_HASH,219365392,2,1,iPad,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\2026-01-18\- 2026-01-18  (1d_fd-00_ff) - | H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\2026-01-18\- 2026-01-18-130926  1d_fd -
SAME_SIZE_SAME_HASH,219746320,2,1,iPad,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\2026-01-23\- 2026-01-23-080754  1f_fa - | H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\2026-01-23\- 2026-01-23-1_End  (1f_fa-00_ff) -
SAME_SIZE_SAME_HASH,220176400,2,1,iPad,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\2026-01-23\2026-01-23-001918  00_ff | H:\Manifest\My_Device\iPad\00008101-001E21CC3A9BA01E\Original\2026-01-23\00008101-001E21CC3A9BA01E
SAME_SIZE_SAME_HASH,208605200,2,1,iPhone11,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\iPhone11 Pro\00008030-001A0C420E40802E\2025-12-25\- 2025-12-24  (0b_fe-00_ff) - | H:\Manifest\My_Device\iPhone11 Pro\00008030-001A0C420E40802E\2025-12-25\- 2025-12-25-035757  0b_fe -
SAME_SIZE_SAME_HASH,525729808,2,1,iPhone13,OPAQUE_HIGH_ENTROPY,H:\Manifest\Friend_Device\iPhone13\My_PC\00008110-001A7D222E33601E\- 2025-12-19_1  (01_fe-00_ff) - | H:\Manifest\Friend_Device\iPhone13\My_PC\00008110-001A7D222E33601E\- 2025-12-20-172821  01_fe -
SAME_SIZE_SAME_HASH,62382096,2,1,mini1,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\mini1\00008101-000C74642182001E\2026-01-01\- 2026-01-01  (1f_fa-00_ff) - | H:\Manifest\My_Device\mini1\00008101-000C74642182001E\2026-01-01\- 2026-01-01-081231  1f_fa -
SAME_SIZE_SAME_HASH,62459920,2,1,mini1,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\mini1\00008101-000C74642182001E\2026-01-11\- 2026-01-11-114100  (0a_fd-00_ff) - | H:\Manifest\My_Device\mini1\00008101-000C74642182001E\2026-01-11\- 2026-01-11-114145  0a_fd -
SAME_SIZE_SAME_HASH,61747216,2,1,mini1,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\mini1\00008101-000C74642182001E\2026-02-18\- 2026-02-18-182906  00_ff - | H:\Manifest\My_Device\mini1\00008101-000C74642182001E\2026-02-18\- 2026-02-18-182906  解析済み -\2026-02-18-182906
SAME_SIZE_SAME_HASH,108691472,2,1,mini2,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\mini2\00008101-001D0D192644001E\2025-12-26\- 2025-12-25  (0d_fd-00_ff) - | H:\Manifest\My_Device\mini2\00008101-001D0D192644001E\2025-12-26\- 2025-12-26-115517  0d_fd -
SAME_SIZE_SAME_HASH,109002768,2,1,mini2,OPAQUE_HIGH_ENTROPY,H:\Manifest\My_Device\mini2\00008101-001D0D192644001E\2026-01-03\2026-01-03  (0e_fd-00_ff) | H:\Manifest\My_Device\mini2\00008101-001D0D192644001E\2026-01-03\2026-01-03-051650  0e_fd
