端末推定,relevant_file_count,trust_graph_lineage,backup_manifest_inheritance,proximity_vs_cloud,evidence_preservation_suppression,normal_control_stress,daemon_state,total_category_hits,active_category_count,判定
15G,2164,294864,194567,401331,108011,243,24165,1023181,6,STRONG_REMAINING_MARKER_DEVICE
12G,1239,171574,80809,240745,58486,96,29440,581150,6,STRONG_REMAINING_MARKER_DEVICE
mini2,1848,105708,23322,147865,37524,201,16126,330746,6,STRONG_REMAINING_MARKER_DEVICE
mini1,1340,84245,20580,126735,16837,340,15735,264472,6,STRONG_REMAINING_MARKER_DEVICE
iPhone11Pro,1176,86826,19650,79971,24454,68,4262,215231,6,STRONG_REMAINING_MARKER_DEVICE
Friend,346,21257,6209,35774,10078,780,3252,77350,6,STRONG_REMAINING_MARKER_DEVICE
iPad,32,1447,929,2517,97,2,979,5971,6,STRONG_REMAINING_MARKER_DEVICE
iPhone15 Pro,8,20,600,61,235,0,305,1221,5,STRONG_REMAINING_MARKER_DEVICE
