axis,63_user_core_avg,recomputed_user_core_avg,user_avg_diff,63_comparison_avg,recomputed_comparison_avg,comparison_avg_diff,63_stress_result,recomputed_stress_result,diff_status
Trust Graph,14.0,14.0,0.0,0.0,0.0,0.0,CONTROL_BASELINE_EMPTY_USER_PRESENT,CONTROL_BASELINE_EMPTY_USER_PRESENT,MATCH
Backup/Manifest,64.667,64.667,0.0,37.667,37.667,0.0,NORMAL_CONTROL_STRESSED_MEDIUM,NORMAL_CONTROL_STRESSED_MEDIUM,MATCH
Proximity/Cloud separation,16.667,16.667,0.0,0.0,0.0,0.0,CONTROL_BASELINE_EMPTY_USER_PRESENT,CONTROL_BASELINE_EMPTY_USER_PRESENT,MATCH
Evidence pressure,68.333,68.333,0.0,0.0,0.0,0.0,CONTROL_BASELINE_EMPTY_USER_PRESENT,CONTROL_BASELINE_EMPTY_USER_PRESENT,MATCH
Combined,45.833,46.0,0.167,10.0,10.667,0.667,NORMAL_CONTROL_STRESSED_STRONG,NORMAL_CONTROL_STRESSED_STRONG,MATCH
